Tag: tag5, Alarm type: low, Alarm limit: 2, value: 1, Time 2/27/2021 11:15:34 AM
Tag: tag12, Alarm type: high, Alarm limit: 7, value: 7, Time 2/27/2021 11:15:47 AM
Tag: tag5, Alarm type: low, Alarm limit: 2, value: 1, Time 2/27/2021 11:15:47 AM
Tag: tag5, Alarm type: high, Alarm limit: 8.8, value: 9, Time 2/27/2021 11:16:00 AM
Tag: tag5, Alarm type: low, Alarm limit: 2, value: 1, Time 2/27/2021 11:16:39 AM
Tag: tag12, Alarm type: high, Alarm limit: 7, value: 8, Time 2/27/2021 11:16:52 AM
Tag: tag12, Alarm type: high, Alarm limit: 7.9, value: 8, Time 2/27/2021 11:16:52 AM
Tag: tag5, Alarm type: low, Alarm limit: 2, value: 1, Time 2/27/2021 11:16:52 AM
Tag: tag5, Alarm type: high, Alarm limit: 8.8, value: 9, Time 2/27/2021 11:17:05 AM
Tag: tag5, Alarm type: low, Alarm limit: 2, value: 1, Time 2/27/2021 11:17:31 AM
Tag: tag12, Alarm type: high, Alarm limit: 7, value: 7, Time 2/27/2021 11:17:44 AM
Tag: tag5, Alarm type: low, Alarm limit: 2, value: 1, Time 2/27/2021 11:17:44 AM
Tag: tag12, Alarm type: high, Alarm limit: 7, value: 8, Time 2/27/2021 11:17:57 AM
Tag: tag12, Alarm type: high, Alarm limit: 7.9, value: 8, Time 2/27/2021 11:17:57 AM
Tag: tag5, Alarm type: low, Alarm limit: 2, value: 1, Time 2/27/2021 11:17:57 AM
Tag: tag5, Alarm type: low, Alarm limit: 2, value: 1, Time 2/27/2021 11:18:36 AM
Tag: tag12, Alarm type: high, Alarm limit: 7, value: 8, Time 2/27/2021 11:18:49 AM
Tag: tag12, Alarm type: high, Alarm limit: 7.9, value: 8, Time 2/27/2021 11:18:49 AM
Tag: tag5, Alarm type: low, Alarm limit: 2, value: 1, Time 2/27/2021 11:18:49 AM
Tag: tag5, Alarm type: high, Alarm limit: 8.8, value: 9, Time 2/27/2021 11:19:02 AM
Tag: tag5, Alarm type: low, Alarm limit: 2, value: 1.04528463267653, Time 2/27/2021 11:19:28 AM
Tag: tag5, Alarm type: low, Alarm limit: 2, value: 1, Time 2/27/2021 11:19:41 AM
Tag: tag12, Alarm type: high, Alarm limit: 7, value: 8, Time 2/27/2021 11:19:54 AM
Tag: tag12, Alarm type: high, Alarm limit: 7.9, value: 8, Time 2/27/2021 11:19:54 AM
Tag: tag5, Alarm type: low, Alarm limit: 2, value: 1, Time 2/27/2021 11:19:54 AM
Tag: tag5, Alarm type: high, Alarm limit: 8.8, value: 9, Time 2/27/2021 11:20:07 AM
Tag: tag5, Alarm type: low, Alarm limit: 2, value: 1, Time 2/27/2021 11:20:33 AM
Tag: tag12, Alarm type: high, Alarm limit: 7, value: 7, Time 2/27/2021 11:20:46 AM
Tag: tag5, Alarm type: low, Alarm limit: 2, value: 1, Time 2/27/2021 11:20:46 AM
Tag: tag12, Alarm type: high, Alarm limit: 7, value: 8, Time 2/27/2021 11:20:59 AM
Tag: tag12, Alarm type: high, Alarm limit: 7.9, value: 8, Time 2/27/2021 11:20:59 AM
Tag: tag5, Alarm type: low, Alarm limit: 2, value: 1, Time 2/27/2021 11:20:59 AM
Tag: tag5, Alarm type: low, Alarm limit: 2, value: 1, Time 2/27/2021 11:21:38 AM
Tag: tag12, Alarm type: high, Alarm limit: 7, value: 8, Time 2/27/2021 11:21:51 AM
Tag: tag12, Alarm type: high, Alarm limit: 7.9, value: 8, Time 2/27/2021 11:21:51 AM
Tag: tag5, Alarm type: low, Alarm limit: 2, value: 1, Time 2/27/2021 11:21:51 AM
Tag: tag5, Alarm type: high, Alarm limit: 8.8, value: 9, Time 2/27/2021 11:22:04 AM
Tag: tag5, Alarm type: low, Alarm limit: 2, value: 1, Time 2/27/2021 11:22:30 AM
